इस्पाती|JJ	2.28792812855e-06
ज़बान|UNK	2.28792812855e-06
प्रदुषण|NN	4.95717761186e-05
साहीवाल|UNK	2.28792812855e-06
पंथनिरपेक्ष|JJ	4.5758562571e-06
तञों|UNK	1.52528541903e-06
कामोत्तेजना|NN	2.28792812855e-06
मरम्मतें|UNK	1.52528541903e-06
बड़ी|XC	0.000274551375426
264-307|QC	1.52528541903e-06
बंगले|NN	8.38906980469e-06
ड्रिलिंग|XC	1.52528541903e-06
कैमिस्टस|UNK	1.52528541903e-06
उपवीत|JJ	1.52528541903e-06
लिनियर|XC	1.52528541903e-06
रासायनिकत|UNK	1.52528541903e-06
रंगोला|UNK	1.52528541903e-06
चयनातऋ-ऊण्श्छ्ष्-मक|UNK	1.52528541903e-06
उपभोकऋ-ऊण्श्छ्ष्-ता|UNK	4.5758562571e-06
Cross|UNK	4.5758562571e-06
स्ट्रगल|NN	2.28792812855e-06
मुर्तजा|NNP	1.52528541903e-06
निपटो|VM	1.52528541903e-06
नात्सीवाद|NN	3.05057083807e-06
उठते|VM	1.14396406428e-05
छप्पर|NN	3.81321354759e-06
मेंरोथेन्स्टाइन|UNK	1.52528541903e-06
आंत|JJ	1.52528541903e-06
जोरिया|UNK	1.52528541903e-06
बिन|NNP	6.86378438565e-06
आश्चर्य|NN	4.65212052805e-05
फूली|NN	1.52528541903e-06
साईकिल|NN	1.52528541903e-06
भूमिस्वरूप|UNK	1.52528541903e-06
AiBava|UNK	1.52528541903e-06
तेलंग|NN	3.05057083807e-06
चट्|QC	1.52528541903e-06
फौजदारों|NN	1.52528541903e-06
वाटरलू|NN	1.52528541903e-06
मिलिशिया|NNP	1.52528541903e-06
मु|QC	1.52528541903e-06
LAN|UNK	3.81321354759e-06
उपजनक|UNK	1.52528541903e-06
अंलकार|NN	1.52528541903e-06
लोकतान्त्रिक|JJ	3.05057083807e-06
QanauYa|UNK	1.52528541903e-06
प्रवर|XC	2.28792812855e-06
पराग|NN	9.91435522372e-06
VaogaaoM|UNK	1.52528541903e-06
फय्मेन्ट्|NN	1.52528541903e-06
उदात्तीकृत|JJ	2.28792812855e-06
क्रिया|NN	0.000119734905394
सोचा|VM	5.03344188281e-05
स्वरों|NN	4.5758562571e-06
वाहिद|NN	3.81321354759e-06
1868|QC	3.81321354759e-06
ऋंऋवाइटिस|UNK	1.52528541903e-06
फेंकवा|UNK	1.52528541903e-06
